wikidata_id,name,kind,start,country,genres,photo_file,photo_author,photo_license,photo_license_url
Q830379,Modern Jazz Quartet,group,1952,United States,Q327547|Q539089,Modern Jazz Quartet.png,Philips Records,Public domain,
Q830536,Bestial Warlust,group,1993,Australia,Q13586773,,,,
Q830586,New York Dolls,group,1971,United States,Q1123745|Q27190,New York Dolls (2006).jpg,Jay Rusnock,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q830761,Possessed,group,1983,United States,Q483251|Q65943557,Possessed - Wacken Open Air 2017 01.jpg,Frank Schwichtenberg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q831480,Beto Barbosa,person,1955,Brazil,Q533946,Beto Barbosa - Camarote Skol (5508520537) (cropped).jpg,Ambev Brasil from Brasil,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q83182,Ludovico Einaudi,person,1980,Italy,Q65943744,Ludovico Einaudi in Tehran 12 (cropped)2.jpg,Meghdad Madadi,CC BY 4.0,https://creativecommons.org/licenses/by/4.0
Q832086,Dave Matthews Band,group,1991,United States,Q106581777,Dave Matthews Band - Band Shot Melbourne 2005.jpg,Diliff,CC BY 2.5,https://creativecommons.org/licenses/by/2.5
Q83309,Johann Strauss II,person,1844,Cisleithania,Q11821889|Q8701407,Johann Strauss II (3).jpg,Fritz Luckhardt,Public domain,
Q83326,Béla Bartók,person,1881,United States,Q65937946|Q788460|Q11487510|Q96870628,Béla Bartók 1943.jpg,RIA Novosti,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q833370,Clawfinger,group,1989,Sweden,Q856872,HF2024Clawfinger 6.jpg,Selbymay,CC BY 4.0,https://creativecommons.org/licenses/by/4.0
Q83431,Megadeth,group,1983,United States,Q483352,Megadeth - Wacken Open Air 2023 12.jpg,Frank Schwichtenberg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q83468,Judas Priest,group,1969,United Kingdom,Q12326776|Q38848,Judas Priest - Wacken Open Air 2018 01.jpg,Frank Schwichtenberg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q8349,"""Weird Al"" Yankovic",person,1976,United States,Q1391336|Q5151495,AlYankovicByKristineSlipson.jpg,Kristine Slipson,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q83499,Safet Isović,person,1956,Bosnia and Herzegovina,Q674684,,,,
Q83505290,Ms Nina,person,2015,Argentina,Q96395212,MsNina (32386778097).jpg,El Bloque TV,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q835289,The Merton Parkas,group,,United Kingdom,Q2280273,,,,
Q836609,Tanzwut,group,1998,Germany,Q15629158,TANZWUT 2015 Band3 klein.jpg,Tanzwut,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q836686,Mad Sin,group,1987,Germany,Q13627677,Hellfest2019MadSin 03.jpg,Selbymay,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q83688261,Imanbek,person,2017,Kazakhstan,Q106493832,Imanbek (2021).png,Forbes,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q83717,Kayhan Kalhor,person,1973,Iran,Q11223087,Kayhan Kalhor.jpg,Reza1615,Public domain,
Q837482,Shoukichi Kina,person,1967,Japan,Q2278881,,,,
Q83814,Agent Orange,group,1979,United States,Q107697441,Agent Orange 2011-10-03 06.jpg,IllaZilla,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q838410,Dave and Ansell Collins,group,1971,,Q1277532,,,,
Q838942,Blessthefall,group,2004,United States,Q131481683,Blessthefall live at Warped Tour 2012.jpg,Edu Mabbitt,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q839408,In the Nursery,group,1981,United Kingdom,Q899116,In the Nursery.jpg,Hans D.,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q839817,Runrig,group,1973,United Kingdom,Q2662148,,,,
Q839904,Dead Meadow,group,1998,United States,Q98528291,DeadMeadow.jpg,Goodnight London,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q840197,Candlemass,group,1984,Sweden,Q186170|Q5834708,Candlemass at Inferno Metal Festival Norway 2024 (53627528728) (cropped).jpg,"Birgit Fostervold from Arendal, Norge",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q840882,Klaxons,group,2005,United Kingdom,Q1995980|Q133501932,Klaxon mg 6541.jpg,Rama,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en
Q841042,My Bloody Valentine,group,1983,Ireland,Q272167,My Bloody Valentine - Manchester 2013.jpg,Martie Donohoe,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q84114,John Adams,person,1973,United States,Q572901|Q98528143,JA-portrait-1-LW.jpg,The original uploader was Macror at English Wikipedia. (Original text: Deborah O'Grady),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/
Q841778,Mahavishnu Orchestra,group,1971,United States,Q105527,,,,
Q842336,Crass,group,1977,United Kingdom,Q486365,Crass pete steve andy.png,Trunt,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q842415,Buena Vista Social Club,group,1966,Cuba,Q4428744,FIL 2012 - Orquesta Buena Vista Social Club 2.JPG,XIIIfromTOKYO,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q842642,Transglobal Underground,group,1990,United Kingdom,Q4020968,Transglobal Underground Athens 2007.jpg,Badseed,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/
Q843742,Aki Yashiro,person,1971,Japan,Q873478,"Aki Yashiro on December 2, 2016.jpg",海上自衛隊東京音楽隊,CC BY 4.0,https://creativecommons.org/licenses/by/4.0
Q844524,Gang Starr,group,1985,United States,Q255406|Q529742,DJ Premier and Guru.jpg,DJ Premier 2008.jpg: Alan Mildor and Guru.jpg: Barbara Mürdter derivative work: Karppinen (talk),CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q845084,REO Speedwagon,group,1967,United States,Q379033|Q16527140,REO Speedwagon.jpg,Tonya Stinson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q845265,Public Image Ltd.,group,1978,United Kingdom,Q598929,Public Image Ltd. live 27 10 2013 photo 1.JPG,Σπάρτακος,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q845449,The Skatalites,group,1964,Jamaica,Q54365|Q108807661,Skatalites-njoki-horn section.jpg,Yerpo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/
Q845465,Toots and the Maytals,group,1966,Jamaica,Q9794|Q108807661|Q1277532,TootsMaytals2011.jpg,Michig,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q845926,Voivod,group,1982,Canada,Q56377253|Q641357,W0937-Hellfest2013 Voivod 70864 (cropped).JPG,Llann Wé²,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q846016,Hieroglyphics,group,1995,United States,Q965635,,,,
Q846373,The Temptations,group,1960,United States,Q2743435|Q9078960,The-Temptations (1964 publicity photo by Kriegsmann).jpg,James J. Kriegsmann,Public domain,
Q847191,The Fleshtones,group,1976,United States,Q98528290,Fleshtones-gibus-tickets.jpg,Trace,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q848428,Botch,group,1993,United States,Q616679,,,,
Q848590,Bounty Killer,person,1992,Jamaica,Q474027|Q740911,BountyKiller.jpg,"Stefan Klauke from Kingston, Jamaica",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q849429,Underworld,group,1979,United Kingdom,Q817138,Underworld (223233).jpg,Tore Sætre,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q849875,Neutral Milk Hotel,group,1989,United States,Q1317816,Jeff Mangum Boston Jan 16 2014.jpg,Abraham Oosten,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q85014708,22Gz,person,2015,United States,Q126281100,22gz 2017 mugshot.webp,Miami-Dade County Corrections and Rehabilitation,Public domain,
