genre,parent
http://www.wikidata.org/entity/Q196999,http://www.wikidata.org/entity/Q3630966
http://www.wikidata.org/entity/Q199415,http://www.wikidata.org/entity/Q113493832
http://www.wikidata.org/entity/Q201405,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q201405,http://www.wikidata.org/entity/Q1133779
http://www.wikidata.org/entity/Q201405,http://www.wikidata.org/entity/Q3328676
http://www.wikidata.org/entity/Q202287,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q202287,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q202287,http://www.wikidata.org/entity/Q639197
http://www.wikidata.org/entity/Q202925,http://www.wikidata.org/entity/Q20502
http://www.wikidata.org/entity/Q202925,http://www.wikidata.org/entity/Q106576170
http://www.wikidata.org/entity/Q202930,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q203720,http://www.wikidata.org/entity/Q7749
http://www.wikidata.org/entity/Q203775,http://www.wikidata.org/entity/Q8341
http://www.wikidata.org/entity/Q204067,http://www.wikidata.org/entity/Q846784
http://www.wikidata.org/entity/Q204067,http://www.wikidata.org/entity/Q5413526
http://www.wikidata.org/entity/Q205049,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q205049,http://www.wikidata.org/entity/Q115484611
http://www.wikidata.org/entity/Q205560,http://www.wikidata.org/entity/Q251192
http://www.wikidata.org/entity/Q205978,http://www.wikidata.org/entity/Q26897135
http://www.wikidata.org/entity/Q206159,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q206159,http://www.wikidata.org/entity/Q846119
http://www.wikidata.org/entity/Q207591,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q207683,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q207841,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q207841,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q208239,http://www.wikidata.org/entity/Q316930
http://www.wikidata.org/entity/Q208239,http://www.wikidata.org/entity/Q3328778
http://www.wikidata.org/entity/Q208341,http://www.wikidata.org/entity/Q211025
http://www.wikidata.org/entity/Q208341,http://www.wikidata.org/entity/Q9048257
http://www.wikidata.org/entity/Q208341,http://www.wikidata.org/entity/Q116174743
http://www.wikidata.org/entity/Q208494,http://www.wikidata.org/entity/Q936942
http://www.wikidata.org/entity/Q208494,http://www.wikidata.org/entity/Q12326776
http://www.wikidata.org/entity/Q208593,http://www.wikidata.org/entity/Q8361
http://www.wikidata.org/entity/Q208593,http://www.wikidata.org/entity/Q964987
http://www.wikidata.org/entity/Q208593,http://www.wikidata.org/entity/Q118738876
http://www.wikidata.org/entity/Q209137,http://www.wikidata.org/entity/Q1641839
http://www.wikidata.org/entity/Q209498,http://www.wikidata.org/entity/Q54365
http://www.wikidata.org/entity/Q209741,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q210216,http://www.wikidata.org/entity/Q9748
http://www.wikidata.org/entity/Q210854,http://www.wikidata.org/entity/Q163775
http://www.wikidata.org/entity/Q210854,http://www.wikidata.org/entity/Q179465
http://www.wikidata.org/entity/Q211025,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q211418,http://www.wikidata.org/entity/Q37073
http://www.wikidata.org/entity/Q211573,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q211723,http://www.wikidata.org/entity/Q38848
http://www.wikidata.org/entity/Q211723,http://www.wikidata.org/entity/Q465978
http://www.wikidata.org/entity/Q211745,http://www.wikidata.org/entity/Q11895763
http://www.wikidata.org/entity/Q211745,http://www.wikidata.org/entity/Q115484611
