wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,group,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links,featured,family_shape,family_hue
Q1165358,3351a42f-2565-455c-9509-82560e98c1f1,danzón,Q18345375,Latin music,1,0,0,ring,,,CUBA & THE CARIBBEAN > DANZÓN & BALLROOM,,,single,music of Cuba,17,,,
Q28219760,396d532a-19e2-47da-9f05-f98ff961407d,descarga,Q18345375,Latin music,1,0,0,ring,,,CUBA & THE CARIBBEAN > SON & GUARACHA,,,single,music of Cuba,1,,,
Q1455932,7a438d39-ae0a-4383-993d-4167132d37f7,frevo,Q18345375,Latin music,1,4,4,ring,,Brazil,DANCE & CARNIVAL > CARNIVAL & STREET,,,single,carnival music | music of Brazil,24,,,
Q10285948,21295cd9-a4e6-49e8-92cf-e5c2001c041b,frevo de bloco,Q1455932,frevo,2,0,0,ring,,Brazil,,,,single,frevo,1,,,
Q130600756,4dece336-1f30-473b-84ee-5f1979d6a174,frevo de rua,Q1455932,frevo,2,0,0,ring,,,,,,single,frevo,0,,,
Q134589282,79941409-5b1f-49ab-a56b-b054a0957989,frevo elétrico,Q1455932,frevo,2,0,0,ring,,,,,,single,frevo,0,,,
Q10285947,9b78ee2c-88e7-44ca-9349-2f929931a125,frevo-canção,Q1455932,frevo,2,0,0,ring,,Brazil,,,,single,frevo,1,,,
Q5583956,e48771f8-b9e0-4cab-ab31-d636e2a4cb1f,goombay,Q18345375,Latin music,1,0,0,ring,,The Bahamas,CUBA & THE CARIBBEAN > THE WIDER CARIBBEAN > TRINIDAD & THE ENGLISH-SPEAKING ISLANDS,,,attach,music of the Caribbean,3,,,
Q787663,e17eaeab-2d3f-4dae-8344-1dd5d9cb3c00,guajira,Q18345375,Latin music,1,0,0,ring,,,CUBA & THE CARIBBEAN > SON & GUARACHA,,,single,music of Cuba | tropical music,13,,,
Q1552806,3c9097f9-10d9-4086-98e3-e8c54ef470b3,guaracha,Q18345375,Latin music,1,0,0,ring,,Cuba,CUBA & THE CARIBBEAN > SON & GUARACHA,,,single,music of Cuba,13,,,
Q124630346,f4db35d2-6b21-437e-bd40-1384372b5ca6,guaracha santiagueña,Q18345375,Latin music,1,0,0,ring,,,THE SOUTHERN CONE,,,single,music of Argentina,0,,,
