wikidata_id,name,kind,start,country,image,sitelinks
Q321748,General Levy,person,1988,United Kingdom,,8
Q1501681,General Surgery,group,1989,Sweden,,7
Q151012,Genesis,group,1967,United Kingdom,2180 - Pittsburgh - Mellon Arena - Genesis - The Carpet Crawlers.JPG,67
Q1502454,Genocide Organ,group,1986,Germany,,3
Q3100841,Gente de Zona,group,2000,Cuba,Gala Billboard Latin Music Showcase Chile 2018 - Gente de Zona - 03.jpg,12
Q49388,Georg Friedrich Haas,person,1953,Austria,"Georg Friedrich Haas, 2014 (aufgenommen von Gian Marco Castelberg).jpg",18
Q45275,Georg Kreisler,person,1944,United States,Georg Kreisler detail.jpg,17
Q75854,Georg Philipp Telemann,person,1705,Holy Roman Empire,Telemann.jpg,74
Q2165220,George Baker Selection,group,1967,Netherlands,George Baker Selection - TopPop 1974 4.png,12
Q348459,George Benson,person,1954,United States,George Benson Publicity Photo 1981.jpg,47
Q774863,George Butterworth,person,1885,United Kingdom of Great Britain and Ireland,George Sainton Kaye Butterworth (1885–1916).png,17
Q5538379,George Darko,person,1951,Ghana,,6
Q536322,George Duke,person,1966,United States,Stanley Clarke and George Duke.jpg,28
Q5539359,"George Formby, Sr.",person,1875,United Kingdom of Great Britain and Ireland,"George Formby Sr, 1919.jpg",6
Q7302,George Frideric Handel,person,1702,Holy Roman Empire,George Frideric Handel by Balthasar Denner.jpg,159
Q123829,George Gershwin,person,1914,United States,George Gershwin 1937.jpg,85
Q508202,George Jones,person,1931,United States,George Jones.jpg,46
Q3101850,George Ramogi,person,1945,Kenya,,5
Q710733,George Rochberg,person,1918,United States,,15
Q535308,George Russell,person,1923,United States,George Russell the jazz musician.jpg,20
Q366584,George Strait,person,1974,United States,George Strait on stage.jpg,40
Q207,George W. Bush,person,1968,United States,George-W-Bush.jpeg,280
Q432302,George Winston,person,1972,United States,George Winston Autograph (cropped).jpg,20
Q449,Georges Brassens,person,1951,France,Brassens-StudioHarcourt-1957.png,55
Q588315,Georgie Fame,person,1959,United Kingdom,Georgie Fame in Sweden 1968.jpg,15
